Unnamed: 0,id,rank,name,valid_url,urls.website,web_score,alexa_rank
150,7883,468,WELL,1,['https://www.bitwellex.com/'],100,Err
151,7737,479,API3,1,['https://api3.org/'],100,Err
152,4953,480,FirmaChain,1,"['https://firmachain.org/#/', 'https://t.me/firmachain_announcement']",80,Err
153,7320,485,Neutrino Token,1,['https://neutrino.at/'],80,Err
154,7725,491,TrueFi,1,"['https://truefi.io/', 'https://blog.trusttoken.com/introducing-truefi-the-defi-protocol-for-uncollateralized-lending-9bfd6594a48?gi=460271a00252']",33,"#85,212"
155,7411,493,Covalent,0,,-2,-1
156,2915,495,Moss Coin,1,['https://moss.land'],70,Err
157,8525,499,Rai Reflex Index,1,['https://reflexer.finance/'],100,Err
158,9938,505,OpenOcean,1,['https://openocean.finance/'],70,"#51,714"
159,9017,509,Polkadex,1,['https://www.polkadex.trade/'],21,"#196,060"
160,7617,510,saffron.finance,1,['https://saffron.finance/'],90,Err
161,1229,517,DigixDAO,0,"['https://digix.global/dgd/', 'https://community.digix.global/']",80,-1
162,2873,521,Metronome,1,['https://www.metronome.io/'],90,Err
163,2243,522,Dragonchain,1,['https://dragonchain.com/'],95,Err
164,7429,525,Liquity,1,['https://www.liquity.org/'],75,"#261,801"
165,8827,526,Boson Protocol,1,['http://bosonprotocol.io'],100,"#384,670"
166,8992,527,Cellframe,1,['https://cellframe.net/'],85,"#520,036"
167,8985,528,Efinity Token,1,"['https://efinity.io', 'https://enjin.io']",100,"#108,288"
168,8492,531,Vesper,1,"['https://vesper.finance', 'https://app.vesper.finance']",45,Err
169,6947,539,Valobit,1,['https://valobit.io/'],100,Err
170,5350,540,Proton,1,['https://www.protonchain.com'],100,"#246,514"
171,6993,542,REVV,1,['https://www.revvmotorsport.com/'],75,"#156,016"
172,2058,543,AirSwap,1,['https://www.airswap.io/'],90,"#195,900"
173,10180,551,GoMining token,1,['https://token.gomining.com/'],70,"#451,867"
174,8644,552,Kylin,1,['https://kylin.network/'],100,"#262,889"
175,3753,554,PlatonCoin,1,"['https://platonlife.com/', 'https://platonfinance.com']",55,Err
176,3260,559,AMO Coin,1,['https://www.amo.foundation/'],95,"#3,131,030"
177,3666,560,Ultiledger,1,['https://www.ultiledger.io/'],-1,Err
178,3139,561,DxChain Token,1,['https://dxchain.com/'],100,"#1,820,724"
179,3301,563,Invictus Hyperion Fund,1,['https://invictuscapital.com/en/hyperion'],100,"#56,555"
180,2090,564,LATOKEN,1,['https://latoken.com/'],1,"#15,662"
181,4293,568,PERL.eco,1,"['https://PERL.eco', 'https://perlinx.finance/']",80,Err
182,1710,569,Veritaseum,1,['http://veritas.veritaseum.com/'],65,Err
183,9111,572,Ethereum Push Notification Service,1,"['https://epns.io/', 'https://app.epns.io/']",85,"#218,270"
184,8495,575,Everest,1,['https://www.everest.org/'],100,"#776,215"
185,10933,579,Impossible Decentralized Incubator Access,1,['https://impossible.finance'],55,Err
186,5841,580,NEST Protocol,1,['https://nestprotocol.org/'],100,Err
187,4118,584,ForTube,1,['https://for.tube/home'],60,"#147,447"
188,2212,585,Quantstamp,1,['https://quantstamp.com/'],100,"#201,549"
189,5423,591,DSLA Protocol,1,"['https://stacktical.com', 'https://dsla.network']",85,"#1,216,888"
190,3935,595,SparkPoint,1,['https://sparkpoint.io'],23,"#252,952"
191,5523,610,Aragon Court,1,['https://anj.aragon.org/'],76,"#119,852"
192,5821,611,Aleph.im,1,['https://aleph.im/'],63,Err
193,5794,612,pNetwork,1,['https://p.network/'],45,"#321,773"
194,2223,616,BLOCKv,1,['https://blockv.io/'],70,"#1,742,551"
195,5966,624,Student Coin,1,"['https://www.studentcoin.org/', 'https://www.studentcoin.education']",100,"#52,795"
196,3724,628,SOLVE,1,['https://solve.care/'],100,"#751,893"
197,4275,631,Cocos-BCX,1,['https://www.cocosbcx.io/'],100,Err
198,8489,633,XSGD,1,['https://www.xfers.com/sg/stablecoin'],100,"#94,894"
199,2354,634,GET Protocol,1,"['https://get-protocol.io/', 'https://guts.tickets/']",100,"#772,569"
