Unnamed: 0,id,rank,name,valid_url,urls.website,web_score,alexa_rank
200,2161,640,Raiden Network Token,1,['https://raiden.network/'],100,"#1,599,138"
201,5798,641,Darwinia Network,1,"['https://darwinia.network/', 'https://docs.darwinia.network/en/']",100,"#282,711"
202,7219,645,Rubic,1,['https://rubic.exchange/'],55,Err
203,9144,649,RAI Finance,1,['https://rai.finance/'],90,Err
204,2891,652,Cardstack,1,['https://cardstack.com/'],46,"#983,473"
205,9104,653,AIOZ Network,1,['https://aioz.network/'],100,"#167,476"
206,10223,658,Vega Protocol,1,"['https://vega.xyz', 'https://fairground.wtf']",100,"#313,254"
207,5429,659,DEAPcoin,1,['https://dea.sg/'],100,"#579,809"
208,4064,660,USDK,1,['https://www.oklink.com/'],100,"#10,177"
209,5401,663,CoinLoan,1,['https://coinloan.io/'],100,"#87,838"
210,8025,664,Mirrored Invesco QQQ Trust,1,['https://mirror.finance'],95,"#15,360"
211,8017,667,Mirrored Microsoft,1,['https://mirror.finance'],95,"#15,360"
212,8016,669,Mirrored Amazon,1,['https://mirror.finance'],95,"#15,360"
213,5589,671,DXdao,1,['https://dxdao.eth.link'],100,"#45,923"
214,8026,672,Mirrored iShares Silver Trust,1,['https://mirror.finance'],95,"#15,360"
215,1556,675,Chrono.tech,1,['https://chrono.tech/'],70,Err
216,3917,676,Sentivate,1,['https://sentivate.com'],50,Err
217,8617,678,PolkaFoundry,1,['https://polkafoundry.com'],35,"#49,407"
218,8001,681,Mirrored Apple,1,['https://mirror.finance/'],95,"#15,360"
219,2348,685,Measurable Data Token,1,['http://mdt.io/'],65,"#917,853"
220,9493,687,Reflexer Ungovernance Token,1,['https://reflexer.finance/'],80,"#479,967"
221,4956,689,MAP Protocol,1,['https://www.maplabs.io/'],50,Err
222,9481,690,Pendle,1,['https://pendle.finance/'],100,Err
223,8005,691,Mirrored Netflix,1,['https://mirror.finance/'],95,"#15,360"
224,8004,695,Mirrored Tesla,1,['https://mirror.finance/'],95,"#15,360"
225,8799,696,InsurAce,1,['https://www.insurace.io/'],30,Err
226,2882,697,0Chain,1,"['https://0chain.net/', 'https://t.me/ZCN_announcements']",100,Err
227,7424,698,Hermez Network,1,['https://hermez.io/'],35,"#353,846"
228,8018,701,Mirrored Twitter,1,['https://mirror.finance'],95,"#15,360"
229,11345,704,Civilization,1,['https://www.civfund.com'],75,Err
230,8408,706,Govi,1,['https://cvi.finance/'],100,"#839,128"
231,8813,707,LABS Group,1,['https://labsgroup.io/'],66,"#269,548"
232,6731,711,Tokamak Network,1,['https://tokamak.network/'],45,Err
233,7024,717,Tixl,1,['https://tixl.org'],100,"#136,583"
234,10006,719,Graviton,1,['https://graviton.one'],45,Err
235,8307,720,DIGG,1,['https://badger.finance/'],80,"#121,296"
236,8027,721,Mirrored United States Oil Fund,1,['https://mirror.finance'],95,"#15,360"
237,2842,723,Bankera,1,['https://bankera.com/'],1,"#393,520"
238,9061,726,Rainicorn,1,['https://rainicoin.io/'],40,Err
239,8292,727,Router Protocol,1,['https://www.routerprotocol.com/'],55,"#233,613"
240,576,730,GameCredits,1,['https://gamecredits.org/'],100,"#456,128"
241,7509,731,BoringDAO,1,['https://www.boringdao.com/'],60,"#894,700"
242,7942,734,Curate,1,['https://curate.style'],51,"#283,488"
243,8006,735,Mirrored Alibaba,1,['https://mirror.finance/'],95,"#15,360"
244,7870,740,Plasma Finance,1,"['https://plasma.finance', 'https://plasmapay.com']",36,"#221,859"
245,2600,741,LGO Token,1,['https://lgo.group/'],65,"#2,278,126"
246,6588,745,Etherisc DIP Token,1,['https://etherisc.com/'],100,Err
247,4841,746,suterusu,1,['https://shield.suterusu.io/'],90,"#401,669"
248,3356,751,The Midas Touch Gold,1,['https://dgex.io/'],25,Err
249,5382,753,ELYSIA,1,['https://elysia.land/'],95,Err
